Ex max (nm),Em max (nm),Stokes Shift (nm),Extinction Coefficient,Quantum Yield,Brightness
508.0,561.0,53.0,85000.0,0.52,44.2
514.0,528.0,14.0,77000.0,0.57,43.89
514.0,526.0,12.0,89000.0,0.49,43.61
514.0,526.0,12.0,89000.0,0.49,43.61
494.0,505.0,11.0,51000.0,0.85,43.35
483.0,499.0,16.0,60000.0,0.72,43.2
494.0,502.0,8.0,56700.0,0.76,43.09
559.0,600.0,41.0,113000.0,0.38,42.94
482.0,502.0,20.0,70000.0,0.6,42.0
504.0,515.0,11.0,88000.0,0.47,41.36
480.0,503.0,23.0,65000.0,0.63,40.95
456.0,486.0,30.0,60000.0,0.68,40.8
481.0,503.0,22.0,64000.0,0.63,40.32
570.0,578.0,8.0,66400.0,0.6,39.84
551.0,565.0,14.0,63800.0,0.62,39.56
498.0,527.0,29.0,77300.0,0.51,39.42
485.0,508.0,23.0,53900.0,0.73,39.35
558.0,605.0,47.0,112000.0,0.35,39.2
487.0,509.0,22.0,57500.0,0.68,39.1
487.0,509.0,22.0,57500.0,0.68,39.1
480.0,500.0,20.0,65000.0,0.6,39.0
573.0,579.0,6.0,45600.0,0.85,38.76
548.0,573.0,25.0,60000.0,0.64,38.4
404.0,492.0,88.0,42500.0,0.9,38.25
437.0,482.0,45.0,45000.0,0.85,38.25
482.0,502.0,20.0,70000.0,0.53,37.1
568.0,592.0,24.0,75000.0,0.49,36.75
504.0,517.0,13.0,78000.0,0.46,35.88
530.0,541.0,11.0,43000.0,0.83,35.69
434.0,474.0,40.0,41000.0,0.87,35.67
559.0,611.0,52.0,78000.0,0.45,35.1
454.0,485.0,31.0,47400.0,0.74,35.08
500.0,513.0,13.0,89400.0,0.39,34.87
496.0,512.0,16.0,67000.0,0.52,34.84
433.0,475.0,42.0,40000.0,0.87,34.8
549.0,565.0,16.0,58000.0,0.6,34.8
488.0,510.0,22.0,45000.0,0.77,34.65
498.0,515.0,17.0,49000.0,0.7,34.3
483.0,506.0,23.0,56500.0,0.6,33.9
492.0,505.0,13.0,41800.0,0.81,33.86
482.0,509.0,27.0,50400.0,0.67,33.77
493.0,517.0,24.0,45000.0,0.75,33.75
488.0,507.0,19.0,56000.0,0.6,33.6
488.0,507.0,19.0,55900.0,0.6,33.54
555.0,584.0,29.0,81000.0,0.41,33.21
482.0,505.0,23.0,55000.0,0.6,33.0
477.0,495.0,18.0,67200.0,0.49,32.93
455.0,488.0,33.0,38700.0,0.85,32.9
558.0,609.0,51.0,70000.0,0.47,32.9
